542  818  SP2_SP2  N  3:3:3:  4:3:3:  C[5]-2_2_2:C[5]-2_2_2:C[5]-3_2_2  C[5,6]-3_2_2_0:C[5]-2_2_0:N[5]-2_2_2  646_3248_1  417_6913_2  1.4142  0.0000  1  1.4142  0.0000  1  
542  818  SP2_SP2  N  3:3:3:  4:3:3:  C[5]-2_2_2:C[5]-2_2_2:C[5]-3_2_2  C[5,6]-3_2_2_0:C[5]-3_2_0:N[5]-2_2_2  646_3248_1  417_6913_1  1.4194  0.0000  1  1.4194  0.0000  1  
542  818  SP2_SP2  N  3:4:2:  3:3:3:  C[5]-2_2_2:C[5]-3_2_0_0:N[5]-2_2  C[5,6a]-2_2_2:C[5]-2_2_2:N[5]-3_2_2  646_3457_1  417_10435_1  1.3150  0.0000  1  1.3150  0.0000  1  
542  818  SP2_SP2  N  3:4:2:  3:3:3:  C[5]-2_2_2:C[5]-3_3_2_0:N[5]-2_2  C[5,6a]-2_2_2:C[5,6a]-2_2_2:N[5]-3_2_2  646_3389_1  417_10888_1  1.3158  0.0000  1  1.3158  0.0000  1  
542  818  SP2_SP2  N  3:4:3:  3:3:2:  C[5,6a]-2_2_2:C[5]-2_2_2_0:C[5]-2_2_2  C[5]-2_2_2:N[5]-2_2:N[5]-3_2_2  646_2320_1  417_27590_1  1.3639  0.0000  1  1.3639  0.0000  1  
542  818  SP2_SP2  N  3:4:3:  3:3:2:  C[5]-2_2_0:C[5]-2_2_2:C[5]-3_2_0_0  N[5]-3_2_0:N[5]-3_2_2:S[5]-3_2  646_6753_1  417_28081_1  1.3683  0.0000  1  1.3683  0.0000  1  
542  818  SP2_SP2  N  3:4:3:  3:3:2:  C[5]-2_2_2:C[5]-2_2_2:C[5]-3_2_0_0  N[5]-3_2_0:N[5]-3_2_2:S[5]-3_2  646_6752_1  417_28081_2  1.3569  0.0000  1  1.3569  0.0000  1  
542  818  SP2_SP2  N  3:4:3:  3:3:3:  C[5]-2_2_2:C[5]-2_2_2:C[5]-3_2_0_0  C[5,6a]-2_2_2:C[5]-2_2_2:N[5]-3_2_2  646_3456_1  417_9576_1  1.4174  0.0012  2  1.4174  0.0012  2  
542  818  SP2_SP2  N  3:4:3:  3:4:3:  C[5,6a]-2_2_2:C[5]-3_2_0_0:C[5]-3_2_2  C[5]-2_2_0_0:C[5]-2_2_0:N[5]-3_2_2  646_2587_2  417_27593_1  1.3757  0.0000  1  1.3757  0.0000  1  
542  818  SP2_SP2  N  3:4:3:  3:4:3:  C[5,6a]-2_2_2:C[5]-3_2_0_0:C[5]-3_2_2  C[5]-2_2_0_0:C[5]-2_2_2:N[5]-3_2_2  646_2587_3  417_27592_1  1.3837  0.0000  1  1.3837  0.0000  1  
542  818  SP2_SP2  N  3:4:3:  3:4:3:  C[5,6a]-2_2_2:C[5]-3_2_0_0:C[5]-3_2_2  C[5]-3_2_0_0:C[5]-3_2_2:N[5]-3_2_2  646_2587_1  417_27596_1  1.3979  0.0000  1  1.3979  0.0000  1  
542  818  SP2_SP2  N  3:4:3:  4:3:2:  C[5]-2_2_0:C[5]-3_2_0_0:C[5]-3_2_2  C[5]-3_3_2_2:N[5]-3_2_2:N[5]-3_2  646_5010_1  417_22141_1  1.3894  0.0000  1  1.3894  0.0000  1  
542  818  SP2_SP2  N  3:4:4:  3:2:2:  C[5]-2_2_2:C[5]-3_2_0_0:C[5]-3_2_0_0  N[5]-3_2:N[5]-3_3_2:O[5]-3_2  646_6594_1  417_28073_1  1.3478  0.0000  1  1.3478  0.0000  1  
542  818  SP2_SP2  N  3:4:4:  3:3:2:  C[5]-2_2_2:C[5]-3_2_0_0:C[5]-3_2_0_0  C[5,6a]-2_2_2:N[5]-2_2:N[5]-3_3_2  646_3586_1  417_10347_1  1.3340  0.0032  2  1.3340  0.0032  2  
542  818  SP2_SP2  N  3:4:4:  3:3:2:  C[5]-2_2_2:C[5]-3_2_0_0:C[5]-3_2_0_0  C[5,6a]-2_2_2:N[5]-3_3_2:O[5]-2_0  646_3668_1  417_10350_1  1.3086  0.0000  1  1.3086  0.0000  1  
542  818  SP2_SP2  N  3:4:4:  3:3:3:  C[5]-2_2_2:C[5]-3_2_0_0:C[5]-3_2_0_0  C[5,6a]-2_2_2:C[5]-2_2_2:N[5]-3_3_2  646_3458_1  417_10925_1  1.3329  0.0000  1  1.3329  0.0000  1  
542  818  SP2_SP2  N  3:4:4:  4:3:2:  C[5]-3_2_0_0:C[5]-3_2_0_0:C[5]-3_2_2  C[5]-3_3_2_2:N[5]-3_3_2:O[5]-3_2  646_5160_1  417_23019_1  1.2907  0.0183  4  1.2907  0.0183  4  
542  818  SP2_SP2  N  3:4:4:  4:3:3:  C[5]-3_2_0_0:C[5]-3_2_0_0:C[5]-3_2_2  C[5,6]-3_3_2_0:N[5]-3_3_2:N[5]-3_3_2  646_3337_1  417_8403_1  1.2999  0.0049  2  1.2999  0.0049  2  
542  818  SP2_SP2  N  4:3:2:  3:2:2:  C[5]-2_2_2:C[5]-3_2_2_0:N[5]-2_2  N[5]-2_2:N[5]-3_2_2:S[5]-3_2  646_5784_1  417_29107_1  1.3267  0.0000  1  1.3267  0.0000  1  
542  818  SP2_SP2  N  4:3:2:  3:2:2:  C[5]-2_2_2:C[5]-3_3_3_2:N[5]-2_2  N[5]-2_2:N[5]-3_2_2:S[5]-3_2  646_3233_1  417_29107_2  1.3244  0.0000  2  1.3244  0.0000  2  
542  818  SP2_SP2  N  4:3:3:  3:2:2:  C[5]-2_2_0:C[5]-2_2_2:C[5]-3_2_0_0  N[5]-3_2_2:N[5]-3_2:N[5]-3_2  646_4593_2  417_28075_1  1.3730  0.0000  1  1.3628  0.0145  2  
