643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_9091_1  586_186_0  2.0852  0.0000  1  2.0881  0.0041  4  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_9091_2  586_186_0  2.0891  0.0045  3  2.0881  0.0041  4  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_9169_1  586_186_0  2.0921  0.0000  1  2.0921  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_9183_1  586_186_0  2.1199  0.0060  2  2.1199  0.0060  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_9220_1  586_186_0  2.0937  0.0105  3  2.0937  0.0105  3  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_9227_1  586_186_0  2.0973  0.0038  5  2.0973  0.0038  5  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_9629_1  586_186_0  2.0969  0.0000  1  2.0969  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_9769_1  586_186_0  2.0912  0.0000  1  2.0912  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_9773_1  586_186_0  2.0806  0.0000  1  2.0806  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_9889_1  586_186_0  2.0782  0.0000  1  2.0818  0.0051  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_9889_2  586_186_0  2.0854  0.0000  1  2.0818  0.0051  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_9938_1  586_186_0  2.0933  0.0000  1  2.0933  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-3_2_2:I-2  C[6a]-2_2_0  451_8630_1  586_186_0  2.1031  0.0000  1  2.1031  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-3_2_2:I-2  C[6a]-2_2_0  451_9127_1  586_186_0  2.1042  0.0067  2  2.1042  0.0067  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-3_2_2:I-2  C[6a]-2_2_0  451_9163_1  586_186_0  2.1044  0.0000  1  2.1044  0.0000  1  
