MetalElem   OtherElem   Bonds_mean      Bonds_stdev     NumSamples
K           Br          3.49882643      0.29635797            70  
K           Cl          3.31336011      0.26888088           375  
K           F           2.88833282      0.29587817          1061  
K           I           3.79844576      0.33770911            85  
K           N           2.98427671      0.18179411          2046  
K           O           2.89251068      0.20314863         12459  
K           S           3.41987314      0.24027710           806  
K           Se          3.63604994      0.28352804           626  
La          B           2.89668000      0.09338052             2  
La          Br          3.17445630      0.21061504            54  
La          C           2.86679207      0.24790528           266  
La          Cl          2.93193324      0.16037931           111  
La          F           2.62010267      0.17997514            15  
La          I           3.26073271      0.15593607            96  
La          N           2.69284802      0.12194086           717  
La          O           2.57869636      0.15495292          5396  
La          P           3.37804350      0.40149515            40  
La          S           3.04402273      0.20512213           161  
La          Se          3.29080027      0.31392226           226  
Li          B           2.41174563      0.15948033            32  
Li          Br          2.64746347      0.22435494            49  
Li          C           2.29965105      0.13145626           711  
Li          Cl          2.41880833      0.16525922           240  
Li          F           2.01272788      0.18164926           184  
Li          I           2.86840388      0.16155641            49  
Li          N           2.08326450      0.09516796          1988  
Li          O           2.00158071      0.12489483          6016  
Li          P           2.62538017      0.10554677           178  
Li          S           2.52036466      0.11481805           178  
Li          Se          2.66865313      0.17749792            99  
Lu          B           2.64550611      0.07141475            18  
Lu          Br          3.08400000      0.55202308             4  
Lu          C           2.51685848      0.20763308           297  
Lu          Cl          2.62688256      0.08602893            39  
Lu          F           2.30658500      0.22274257            18  
Lu          I           3.36952000      0.44501147             4  
Lu          N           2.38077731      0.12456193           491  
Lu          O           2.31021082      0.11842151          1117  
Lu          P           3.10785714      0.20013544             7  
Lu          S           2.71713484      0.11833755            95  
Lu          Se          2.79268791      0.05513015            43  
Mg          B           2.58499333      0.23948239            15  
Mg          Br          2.56000912      0.08981456            57  
Mg          C           2.25372299      0.16101639           254  
Mg          Cl          2.49170450      0.17011947           149  
Mg          F           2.01328068      0.07982205           176  
Mg          I           2.74221500      0.07812686            26  
Mg          N           2.10948278      0.09449255          1304  
Mg          O           2.06923250      0.06955474          3079  
Mg          P           2.71456771      0.13074048            35  
Mg          S           2.62950679      0.14019705            28  
Mg          Se          2.66546200      0.10746118            20  
Mn          B           2.22413644      0.14361495            90  
Mn          Br          2.61048480      0.15430113           331  
Mn          C           1.96186254      0.18694093          3619  
Mn          Cl          2.48079865      0.13635341           719  
Mn          F           2.05047008      0.14816712           119  
Mn          I           2.81870976      0.15974016            41  
Mn          N           2.19430478      0.12639871          8367  
Mn          O           2.12524808      0.15272386         14317  
Mn          P           2.35139945      0.15689079           326  
Mn          S           2.44768052      0.15204205           650  
Mn          Se          2.52997010      0.12405644           103  
Mo          B           2.29823162      0.11058660           204  
Mo          Br          2.60458588      0.03282417           238  
Mo          C           2.14890400      0.15788297          5574  
Mo          Cl          2.44074118      0.08882683           828  
Mo          F           2.03131261      0.13136547           249  
Mo          I           2.84316487      0.20820065           195  
Mo          N           2.15035208      0.19859721          2143  
Mo          O           1.96580045      0.23244276         34528  
Mo          P           2.49182776      0.10462134          1079  
Mo          S           2.39418520      0.10912290          1591  
Mo          Se          2.55703647      0.08130965           173  
Na          Br          3.25623605      0.36011001            43  
Na          C           2.42530667      0.02811459             3  
Na          Cl          2.98366943      0.26199475           157  
Na          F           2.46070936      0.21532839           390  
Na          I           3.37060306      0.35898488            36  
Na          N           2.52177967      0.15303821          1246  
Na          O           2.45560811      0.16087776         13684  
Na          P           2.81757667      0.00272546             3  
Na          S           2.98543229      0.17097961           354  
Na          Se          3.11662378      0.22128009           119  
Nd          B           2.84110846      0.11564509            26  
Nd          Br          2.87656500      0.03567405            14  
Nd          C           2.88780599      0.31804992           147  
Nd          Cl          2.84227011      0.17236153            93  
Nd          F           2.45292222      0.17238915            18  
Nd          I           3.13673553      0.06677517            47  
Nd          N           2.60737324      0.11076428           688  
Nd          O           2.50078590      0.13824146          5353  
Nd          P           2.97092900      0.17338174            10  
Nd          S           2.94604948      0.21554076            77  
Nd          Se          3.12853644      0.24582097            59  
Ni          B           2.16448599      0.15628821           167  
Ni          Br          2.40658155      0.13921869           563  
Ni          C           2.01154059      0.13460342          3756  
Ni          Cl          2.31264938      0.14481748          1048  
Ni          F           1.97314107      0.17323679            56  
Ni          I           2.66479959      0.27084573           123  
Ni          N           2.03633324      0.10198601         13684  
Ni          O           2.05356023      0.09317371         11826  
Ni          P           2.19661781      0.08905929          2304  
Ni          S           2.22423796      0.13609331          3228  
Ni          Se          2.32908735      0.07404622           113  
Np          C           2.75659231      0.10555764            13  
Np          Cl          2.70373290      0.07115430            69  
Np          F           2.31803778      0.05876930             9  
Np          N           2.52400667      0.15176429            33  
Np          O           2.28366311      0.29591803           521  
Np          P           3.49219800      0.29522123             5  
Np          S           2.84314158      0.17057821            38  
Np          Se          2.99875861      0.16663354            36  
Os          B           2.16724400      0.13052120            30  
Os          Br          2.52986650      0.04029131            40  
Os          C           2.04525433      0.15092270          2668  
Os          Cl          2.39703907      0.05965932           335  
Os          F           1.96206597      0.12058167            62  
Os          I           2.72710444      0.05107670            18  
Os          N           2.06287569      0.08198908          1044  
Os          O           2.00020078      0.14958717           397  
Os          P           2.37040518      0.05166425           465  
Os          S           2.32410245      0.09680810            98  
Os          Se          2.48834000      0.00493138             4  
Pa          F           2.24295212      0.12043613            33  
Pr          Br          3.21313000      0.38590695             7  
Pr          C           2.77977585      0.23721666            53  
Pr          Cl          2.89025936      0.19568578            47  
Pr          F           2.40384333      0.04563802             6  
Pr          I           3.18816364      0.08411421            22  
Pr          N           2.63973904      0.09259648           415  
Pr          O           2.53223465      0.15519610          3252  
Pr          P           2.96269667      0.01188639             6  
Pr          S           3.01982810      0.23923260            58  
Pr          Se          3.16899457      0.30479518            35  
Pt          B           2.18966590      0.14540457           205  
Pt          Br          2.50444770      0.13844366           448  
Pt          C           2.03926957      0.09435641          5260  
Pt          Cl          2.33939367      0.09958806          2439  
Pt          F           2.05507000      0.06111924            15  
Pt          I           2.71393944      0.24043425           481  
Pt          N           2.05174692      0.07162041          5163  
Pt          O           2.05076213      0.07550949          1356  
Pt          P           2.28567852      0.05757626          3061  
Pt          S           2.34918384      0.21947049          1618  
Pt          Se          2.45885744      0.15146590            90  
Pu          Br          2.94847333      0.09357909             6  
Pu          C           2.75999333      0.02467866             3  
Pu          Cl          2.66230557      0.08889805            79  
Pu          I           3.11812500      0.12361268             6  
Pu          N           2.54030100      0.15644382            30  
Pu          O           2.34556644      0.22875566           399  
Pu          S           2.87455917      0.06159412            12  
Pu          Se          3.05558750      0.05512118             8  
Rb          Br          3.64070478      0.24992069            46  
Rb          Cl          3.50448128      0.17993071           117  
Rb          F           3.01942813      0.17142409           230  
Rb          I           4.01670179      0.28257365            39  
Rb          N           3.10627023      0.15618191           214  
Rb          O           3.06052906      0.18297070          3103  
Rb          S           3.53040547      0.20221754           448  
Rb          Se          3.70034103      0.23856234           291  
Re          B           2.31492497      0.11226322           147  
Re          Br          2.55648527      0.06754312           455  
Re          C           1.99416192      0.13624255          5468  
Re          Cl          2.40557198      0.08180605          1121  
Re          F           1.96689015      0.11408731            67  
Re          I           2.75038278      0.05421513            36  
Re          N           2.14328866      0.11701228          3081  
Re          O           1.87025584      0.19546114          2295  
Re          P           2.44933298      0.05413306           783  
Re          S           2.39508422      0.09156228           981  
Re          Se          2.52641976      0.02913580           451  
Rh          B           2.20462553      0.13919820           197  
Rh          Br          2.60042383      0.25515083            81  
